DATE,LPMVRJX,LPMZ597,LPMZ598,LPMVQKT,LPMVQXV,LPMVRJV,LPMVWDO,LPMAUYM,LPMVWXL
31 Jan 2010,1124751,,,49852,1174604,1034576,140436,2209180,2379910
28 Feb 2010,1134797,,,49527,1184324,1025066,137585,2209391,2404223
31 Mar 2010,1156948,,,50183,1207131,1012398,142407,2219529,2405016
30 Apr 2010,1155269,,,50586,1205855,1007486,151233,2213342,2387417
31 May 2010,1154269,,,51430,1205699,994958,140651,2200657,2393278
30 Jun 2010,1161206,,,50263,1211469,988698,141719,2200167,2378543
31 Jul 2010,1153388,,,50490,1203877,996394,151240,2200271,2366105
31 Aug 2010,1155851,,,49854,1205705,968550,134201,2174254,2351524
30 Sep 2010,1164345,,,49773,1214118,969133,131158,2183251,2365930
31 Oct 2010,1161116,,,51293,1212409,975650,126500,2188059,2373553
30 Nov 2010,1174435,,,51077,1225512,952373,116793,2177885,2353410
31 Dec 2010,1182699,,,52312,1235011,921033,82246,2156043,2323609
31 Jan 2011,1172904,,,51269,1224172,925769,106783,2149941,2313305
28 Feb 2011,1173922,,,51395,1225318,919773,117322,2145090,2321974
31 Mar 2011,1191040,,,51434,1242474,920165,100817,2162639,2347111
30 Apr 2011,1191742,,,52858,1244600,917122,102418,2161721,2352119
31 May 2011,1190117,,,52189,1242306,918995,99033,2161301,2364565
30 Jun 2011,1198209,,,52418,1250626,904900,97236,2155527,2343657
31 Jul 2011,1194565,,,53555,1248120,904366,104404,2152487,2332966
31 Aug 2011,1195519,,,52730,1248248,895049,94842,2143297,2328918
30 Sep 2011,1201259,,,53252,1254511,879783,101000,2134294,2345838
31 Oct 2011,1198618,,,53896,1252514,868627,101742,2121141,2312945
30 Nov 2011,1201456,,,54278,1255734,854078,102314,2109812,2310330
31 Dec 2011,1216631,,,55024,1271655,818212,94006,2089867,2266224
31 Jan 2012,1206515,,,53371,1259886,834105,112194,2093991,2280334
29 Feb 2012,1212379,,,53637,1266016,800004,115748,2066020,2252935
31 Mar 2012,1230141,,,54779,1284920,784105,94580,2069025,2269930
30 Apr 2012,1229359,,,54474,1283832,801281,107549,2085113,2290224
31 May 2012,1232090,,,54618,1286708,801808,108494,2088515,2308892
30 Jun 2012,1245793,,,55635,1301427,766388,105132,2067815,2286645
31 Jul 2012,1243386,,,55202,1298588,766558,113489,2065145,2298786
31 Aug 2012,1255780,,,55637,1311417,765514,115946,2076931,2289479
30 Sep 2012,1264123,,,55841,1319964,760719,118296,2080683,2308780
31 Oct 2012,1267127,,,55403,1322530,752524,121137,2075054,2304434
30 Nov 2012,1276422,,,56892,1333314,742733,113641,2076047,2307003
31 Dec 2012,1283738,,,57839,1341578,749968,109564,2091546,2327083
31 Jan 2013,1280450,,,55866,1336316,755099,125282,2091415,2344580
28 Feb 2013,1288391,,,56245,1344635,751363,119712,2095999,2356041
31 Mar 2013,1305560,,,57738,1363298,730028,102964,2093327,2365874
30 Apr 2013,1305226,,,57204,1362431,728487,115009,2090918,2377905
31 May 2013,1314292,,,58513,1372804,721859,115194,2094663,2404786
30 Jun 2013,1322609,,,58925,1381534,715654,107570,2097189,2405517
31 Jul 2013,1320963,,,58475,1379438,729037,115827,2108475,2411224
31 Aug 2013,1325950,,,58907,1384857,744642,124419,2129499,2419452
30 Sep 2013,1334027,,,59148,1393175,746851,124418,2140026,2401599
31 Oct 2013,1337167,,,58962,1396128,742062,125305,2138190,2396475
30 Nov 2013,1349385,,,60210,1409595,739165,121666,2148760,2413077
31 Dec 2013,1352819,,,60549,1413368,692920,96875,2106288,2362530
31 Jan 2014,1361273,198678,1052188,59123,1420396,701501,130564,2121896,2389416
28 Feb 2014,1370665,199300,1059667,59425,1430091,712667,144813,2142757,2419385
31 Mar 2014,1384516,207272,1063631,59990,1444506,663473,112803,2107979,2373954
30 Apr 2014,1387308,205321,1068510,59870,1447178,653803,121696,2100981,2372912
31 May 2014,1395521,207152,1074610,60910,1456431,643398,122157,2099829,2378566
30 Jun 2014,1404446,214859,1077915,61156,1465602,643602,117067,2109203,2369611
31 Jul 2014,1402152,214283,1076252,61336,1463489,643547,119798,2107036,2361144
31 Aug 2014,1408295,213957,1082295,62242,1470538,648998,125388,2119536,2379075
30 Sep 2014,1415797,218444,1094321,61772,1477568,629010,103057,2106578,2368315
31 Oct 2014,1420388,219283,1100744,62717,1483105,619216,116195,2102321,2355619
30 Nov 2014,1425888,221560,1104322,64200,1490088,617822,115389,2107910,2378266
31 Dec 2014,1437639,227861,1108657,63825,1501464,603528,97280,2104992,2355042
31 Jan 2015,1429900,224411,1102995,62645,1492545,589408,103421,2081953,2344554
28 Feb 2015,1434575,223808,1107416,63042,1497617,584318,105481,2081936,2343017
31 Mar 2015,1453233,235048,1108328,63393,1516626,587230,94351,2103856,2367424
30 Apr 2015,1452036,228939,1114665,63709,1515745,591016,99656,2106761,2366810
31 May 2015,1457045,229464,1119066,64705,1521750,598781,103772,2120531,2377022
30 Jun 2015,1477925,237025,1120740,64078,1542003,568301,88013,2110303,2358527
31 Jul 2015,1476727,237429,1122205,65038,1541765,584112,98846,2125877,2379909
31 Aug 2015,1479523,235695,1126956,65667,1545190,569639,100388,2114829,2385885
30 Sep 2015,1491614,242299,1128806,64809,1556423,539204,76264,2095628,2371473
31 Oct 2015,1500596,242996,1138145,66046,1566643,544204,80450,2110847,2379331
30 Nov 2015,1507379,246793,1140123,66924,1574303,546561,85158,2120864,2395499
31 Dec 2015,1522129,250709,1148068,67669,1589798,528850,73380,2118648,2387951
31 Jan 2016,1511768,243337,1146377,66769,1578538,529192,75871,2107729,2405250
29 Feb 2016,1523693,243840,1151930,67034,1590728,536591,78575,2127319,2435209
31 Mar 2016,1493832,211904,1164696,67628,1561459,570490,70684,2131949,2440460
30 Apr 2016,1497868,203868,1194778,68781,1566649,562139,73912,2128788,2437802
31 May 2016,1504418,214342,1195094,68735,1573154,579214,78066,2152368,2460979
30 Jun 2016,1519497,222748,1200719,68776,1588272,601730,76670,2190002,2540055
31 Jul 2016,1526340,220542,1207893,70422,1596762,614971,90674,2211733,2573162
31 Aug 2016,1531792,223687,1208138,69976,1601768,626840,99551,2228608,2595917
30 Sep 2016,1548000,228599,1217189,71035,1619034,609682,83126,2228716,2603111
31 Oct 2016,1550695,228689,1219099,71942,1622637,627713,102510,2250349,2640043
30 Nov 2016,1553958,230193,1218401,72219,1626176,633928,116898,2260104,2650194
31 Dec 2016,1565432,233390,1226536,73858,1639290,611560,96054,2250850,2623525
31 Jan 2017,1547316,227536,1215769,71813,1619129,632849,122405,2251978,2642655
28 Feb 2017,1547812,226512,1219943,71989,1619801,634079,123232,2253881,2679539
31 Mar 2017,1572207,235397,1228100,72878,1645085,643459,123066,2288544,2701204
30 Apr 2017,1575514,233859,1235888,73706,1649220,665549,138104,2314769,2723391
31 May 2017,1577940,237563,1230605,72909,1650850,657731,129669,2308581,2729640
30 Jun 2017,1590483,244108,1239502,73567,1664050,651842,121744,2315892,2732932
31 Jul 2017,1585814,239467,1237667,73898,1659712,650373,130035,2310085,2747133
31 Aug 2017,1591981,241552,1239073,73741,1665722,668506,136861,2334228,2782209
30 Sep 2017,1600993,243989,1251830,74106,1675099,681220,140839,2356319,2784804
31 Oct 2017,1601669,243037,1255929,73432,1675101,690156,154876,2365257,2805662
30 Nov 2017,1608920,247450,1259362,73820,1682741,687913,150148,2370654,2825364
31 Dec 2017,1614830,249013,1266719,75121,1689950,669756,132701,2359706,2785885
31 Jan 2018,1607368,245456,1257121,72165,1679533,695248,152224,2374781,2818378
28 Feb 2018,1611770,246596,1261432,71977,1683747,686220,150560,2369967,2819907
31 Mar 2018,1627622,246335,1273825,73415,1701037,656764,121804,2357802,2779712
30 Apr 2018,1627816,248778,1272071,72321,1700136,658037,125517,2358174,2791676
31 May 2018,1634159,252774,1275040,72853,1707012,667720,122521,2374732,2833373
30 Jun 2018,1648425,258536,1282605,73372,1721797,654857,123286,2376654,2827878
31 Jul 2018,1646347,257610,1279225,73345,1719692,658970,128391,2378662,2828944
31 Aug 2018,1652161,259609,1288838,73657,1725818,657157,131211,2382975,2842004
30 Sep 2018,1658192,261133,1292987,73802,1731994,653917,130954,2385911,2848633
31 Oct 2018,1662816,262716,1294151,73397,1736213,661835,143269,2398049,2886487
30 Nov 2018,1672263,264215,1302583,73941,1746204,655531,143621,2401736,2910104
31 Dec 2018,1679578,267819,1306538,74839,1754417,659208,140364,2413625,2897741
31 Jan 2019,1663275,259925,1297815,72447,1735722,662170,146440,2397893,2864518
28 Feb 2019,1666801,256442,1305869,72420,1739221,668273,153688,2407494,2837069
31 Mar 2019,1684049,260680,1315287,73065,1757115,656070,131577,2413185,2840100
30 Apr 2019,1686872,258760,1321116,72734,1759606,670424,147823,2430030,2860377
31 May 2019,1701858,263362,1330007,73269,1775127,652799,132541,2427926,2874216
30 Jun 2019,1708357,264952,1334642,74030,1782387,648754,123453,2431141,2874566
31 Jul 2019,1707405,266743,1332613,73817,1781223,660825,136700,2442047,2883337
31 Aug 2019,1720215,267736,1341923,74970,1795186,667386,136785,2462571,2903573
30 Sep 2019,1731275,272066,1346074,75202,1806477,669537,134770,2476014,2886847
31 Oct 2019,1734543,272187,1356796,74815,1809358,676255,146972,2485613,2871163
30 Nov 2019,1744134,273835,1367169,75710,1819844,691773,157268,2511617,2908698
31 Dec 2019,1747236,276660,1369000,75980,1823216,682792,141613,2506007,2886737
31 Jan 2020,1734127,269523,1365523,74197,1808325,707608,162313,2515932,2892081
29 Feb 2020,1744154,268541,1374474,74264,1818418,711058,167928,2529476,2921999
31 Mar 2020,1802822,292099,1390385,74277,1877100,734166,161797,2611266,3081384
30 Apr 2020,1836278,303116,1413256,75786,1912064,755103,175549,2667167,3107845
31 May 2020,1884960,323943,1440840,78660,1963620,754959,171554,2718580,3160165
30 Jun 2020,1901402,336635,1447029,80447,1981850,766064,178280,2747913,3182092
31 Jul 2020,1911661,341861,1453582,81774,1993434,787843,197116,2781278,3200211
31 Aug 2020,1915988,342316,1458898,82372,1998360,766271,176534,2764630,3184543
30 Sep 2020,1932207,349724,1462441,82682,2014889,771171,189838,2786060,3206464
31 Oct 2020,1952503,354874,1479755,83287,2035791,746645,157506,2782436,3208463
30 Nov 2020,1968155,357122,1494051,84078,2052233,753136,151505,2805369,3229194
31 Dec 2020,1999028,364966,1516960,85222,2084250,736667,147877,2820917,3250823
31 Jan 2021,1996073,356545,1524259,85136,2081208,741872,148086,2823081,3250617
28 Feb 2021,2014043,356065,1543891,85666,2099708,746287,153950,2845996,3270510
31 Mar 2021,2048438,366036,1561223,86556,2134994,733315,144111,2868309,3303094
30 Apr 2021,2063901,363774,1583281,87400,2151302,733498,143012,2884800,3329756
31 May 2021,2076425,366921,1589855,88122,2164548,728956,148182,2893503,3350088
30 Jun 2021,2095287,380168,1597112,87504,2182791,732754,149056,2915546,3374829
31 Jul 2021,2090483,371302,1602237,87686,2178169,743574,155440,2921743,3372690
31 Aug 2021,2094083,372632,1601348,87756,2181838,744100,155605,2925939,3393316
30 Sep 2021,2114937,381417,1612077,87393,2202330,751805,156352,2954135,3446725
31 Oct 2021,2119672,373222,1615474,87687,2207358,768843,160564,2976202,3468436
30 Nov 2021,2127312,376788,1614592,87365,2214676,785978,173301,3000654,3510970
31 Dec 2021,2135284,377233,1625943,87159,2222443,777762,166636,3000205,3488172
31 Jan 2022,2117383,367995,1613674,85928,2203311,773016,163279,2976327,3457865
28 Feb 2022,2123216,365565,1622814,85423,2208639,804112,189909,3012751,3515071
31 Mar 2022,2150819,376484,1632608,85196,2236014,789068,163482,3025082,3544223
30 Apr 2022,2153265,369142,1645775,85145,2238410,786276,172085,3024686,3543557
31 May 2022,2162116,374252,1645286,85083,2247199,790863,170608,3038062,3540696
30 Jun 2022,2165963,376249,1650558,84602,2250565,783931,153834,3034497,3566080
31 Jul 2022,2162141,370136,1649362,85147,2247288,803654,160530,3050942,3571885
31 Aug 2022,2163061,370680,1648178,84841,2247902,793378,144708,3041280,3592705
30 Sep 2022,2193848,378693,1662195,84341,2278189,838139,129430,3116328,3704873
31 Oct 2022,2190384,379576,1662519,84545,2274929,840464,166911,3115393,3681850
30 Nov 2022,2194325,377712,1669919,85128,2279453,798211,143292,3077664,3631868
31 Dec 2022,2202390,374167,1679859,86467,2288858,758585,140556,3047442,3588968
31 Jan 2023,2170259,362460,1661406,84909,2255168,803560,146598,3058729,3586698
28 Feb 2023,2169548,358322,1666065,85042,2254590,789587,139896,3044177,3586933
31 Mar 2023,2180062,361864,1670376,85242,2265304,771716,133659,3037019,3570536
30 Apr 2023,2172067,353277,1673702,85759,2257826,773117,131342,3030943,3544176
31 May 2023,2165513,353571,1663493,85468,2250981,786092,131769,3037073,3558929
30 Jun 2023,2169169,353071,1674892,85265,2254434,784509,127501,3038944,3562555
31 Jul 2023,2155357,346881,1666528,85272,2240629,774131,114439,3014760,3541619
31 Aug 2023,2153615,347185,1666943,84831,2238446,778862,125373,3017308,3551072
30 Sep 2023,2165194,346955,1676390,84922,2250116,739352,103852,2989468,3545624
31 Oct 2023,2163070,345824,1676009,85099,2248169,742477,112894,2990646,3494602
30 Nov 2023,2168386,347939,1682359,85855,2254241,747065,113396,3001305,3499641
31 Dec 2023,2182249,345494,1697150,87388,2269637,741925,103182,3011562,3531480
31 Jan 2024,2161893,333121,1684450,85459,2247352,736909,100549,2984261,3475161
29 Feb 2024,2169223,334506,1694505,85739,2254963,749375,111920,3004338,3501773
31 Mar 2024,2199470,336765,1716026,86858,2286328,756467,115620,3042795,3574890
30 Apr 2024,2199656,335340,1716322,86291,2285947,752307,111589,3038253,3542623
31 May 2024,2209745,336110,1725345,86424,2296169,747025,103432,3043194,3542607
30 Jun 2024,2221113,338919,1734059,86525,2307638,753955,112921,3061593,3536759
31 Jul 2024,2213255,335717,1729486,86553,2299809,770411,118934,3070220,3540274
31 Aug 2024,2231725,336435,1741628,86638,2318363,742874,110285,3061237,3507314
30 Sep 2024,2248098,339906,1752963,86698,2334796,749125,118823,3083921,3554290
31 Oct 2024,2269241,337442,1771469,87003,2356243,727416,97286,3083660,3569897
30 Nov 2024,2280719,337420,1783300,87856,2368576,728099,96635,3096674,3602747
31 Dec 2024,2286874,341922,1784872,89428,2376302,713747,82524,3090049,3585091
31 Jan 2025,2283204,333703,1780748,88676,2371880,745488,101734,3117368,3627374
28 Feb 2025,2284290,330451,1790041,89172,2373462,754219,114035,3127680,3646929
31 Mar 2025,2311315,342293,1796786,90493,2401809,739413,97504,3141222,3664375
30 Apr 2025,2306167,334473,1798567,91141,2397308,739017,98473,3136325,3628660
31 May 2025,2313427,333579,1804286,92260,2405686,744411,103418,3150097,3648838
